,Car Model,Price,Parameters
0,Toyota Avensis,                                                                    1 390 €                                                                                                ,"2.0 l., Dyzelinas, 2003 m, Mechaninė, 85 kW
270 555 km., Universalas, Kaunas"
1,Volvo V70,                                                                    2 799 €                                                                                                ,"2.4 l., Dyzelinas, 2006 m, Automatinė, 136 kW
Universalas, Vilnius"
2,BMW 318,                                                                    8 499 €                                                                                                ,"2.0 l., Dyzelinas, 2013 m, Mechaninė, 100 kW
187 500 km., Universalas, Kaunas"
3,BMW X6,                                                                    16 000 €                                                                                                ,"3.0 l., Benzinas, 2010 m, Automatinė, 225 kW
163 000 km., Visureigis, Vilnius"
4,Volkswagen Golf IV,                                                                    999 €                                                                                                ,"1.9 l., Dyzelinas, 2003 m, Mechaninė, 74 kW
260 000 km., Universalas, Vilnius"
5,Volvo XC90,                                                                    4 550 €                                                                                                ,"2.4 l., Dyzelinas, 2004 m, Automatinė, 120 kW
335 764 km., Visureigis, Kaunas"
6,BMW X7,                                                                    78 980 €                                                                                                ,"3.0 l., Benzinas, 2021 m, Automatinė, 250 kW
28 400 km., Visureigis, Kaunas"
7,Volkswagen Caravelle,                                                                    645 €                                                                                                ,"2.0 l., Benzinas/Dujos, 1991 m, Mechaninė
Keleivinis mikroautobusas, Vilnius"
8,Volvo V70,                                                                    777 €                                                                                                ,"2.5 l., Dyzelinas, 2000 m, Mechaninė, 103 kW
Universalas, Vilnius"
9,Toyota Yaris Verso,                                                                    800 €                                                                                                ,"1.3 l., Benzinas, 2001 m, Mechaninė
Vienatūris, Radviliškis"
10,Volkswagen Caddy,                                                                    1 199 €                                                                                                ,"1.9 l., Dyzelinas, 2006 m, Mechaninė, 55 kW
Keleivinis mikroautobusas, Vilnius"
11,Audi A4,                                                                    1 650 €                                                                                                ,"1.9 l., Dyzelinas, 2001 m, Mechaninė, 85 kW
Universalas, Telšiai"
12,Citroen C4 Picasso I,                                                                    2 250 €                                                                                                ,"2.0 l., Dyzelinas, 2007 m, Automatinė, 100 kW
134 000 km., Vienatūris, Kretinga"
13,Volkswagen Touran,                                                                    2 600 €                                                                                                ,"2.0 l., Dyzelinas, 2004 m, Automatinė, 103 kW
Vienatūris, Kaunas"
14,Audi A4 B5,                                                                    2 999 €                                                                                                ,"1.9 l., Dyzelinas, 2001 m, Mechaninė
254 156 km., Universalas, Alytus"
15,Volkswagen Golf,                                                                    3 300 €                                                                                                ,"2.0 l., Dyzelinas, 2005 m, Automatinė, 103 kW
270 000 km., Hečbekas, Alytus"
16,Audi A4 B5,                                                                    3 500 €                                                                                                ,"1.9 l., Dyzelinas, 2001 m, Mechaninė
311 000 km., Universalas, Kaunas"
17,BMW X3 E83,                                                                    5 700 €                                                                                                ,"3.0 l., Dyzelinas, 2004 m, Automatinė, 150 kW
314 000 km., Visureigis, Kaunas"
18,Volkswagen Passat B7,                                                                    6 500 €                                                                                                ,"2.0 l., Dyzelinas, 2011 m, Automatinė, 103 kW
291 440 km., Sedanas, Kaunas"
19,Opel Astra,                                                                    7 200 €                                                                                                ,"2.0 l., Dyzelinas, 2014 m, Automatinė
216 000 km., Universalas, Tauragė"
20,Volvo S80,                                                                    300 €                                                                                                ,"2.0 l., Benzinas, 1999 m, Mechaninė, 120 kW
Sedanas, Druskininkai"
21,Peugeot 307,                                                                    750 €                                                                                                ,"2.0 l., Dyzelinas, 2003 m, Mechaninė, 79 kW
220 000 km., Hečbekas, Kaunas"
22,BMW 320 E46,                                                                    850 €                                                                                                ,"2.0 l., Dyzelinas, 2002 m, Mechaninė, 85 kW
Sedanas, Kaunas"
23,Ford Focus,                                                                    1 200 €                                                                                                ,"1.6 l., Dyzelinas, 2005 m, Mechaninė, 80 kW
Universalas, Kaunas"
24,Volkswagen Passat B5,                                                                    1 250 €                                                                                                ,"1.9 l., Dyzelinas, 1999 m, Mechaninė, 85 kW
300 000 km., Sedanas, Telšiai"
25,Audi A6,                                                                    1 399 €                                                                                                ,"2.5 l., Dyzelinas, 2003 m, Automatinė, 132 kW
271 000 km., Universalas, Estija, Talinas"
26,Ford Galaxy,                                                                    1 445 €                                                                                                ,"2.0 l., Benzinas, 1996 m, Mechaninė, 85 kW
197 546 km., Vienatūris, Kaunas"
27,Audi A2,                                                                    1 599 €                                                                                                ,"1.4 l., Dyzelinas, 2001 m, Mechaninė, 55 kW
325 000 km., Hečbekas, Kaunas"
28,Kia Cerato,                                                                    1 599 €                                                                                                ,"2.0 l., Benzinas, 2005 m, Mechaninė, 105 kW
166 000 km., Sedanas, Estija, Talinas"
29,Mazda 6,                                                                    1 699 €                                                                                                ,"2.0 l., Benzinas, 2006 m, Automatinė, 108 kW
279 000 km., Sedanas, Estija, Talinas"
30,Toyota Avensis,                                                                    1 390 €                                                                                                ,"2.0 l., Dyzelinas, 2003 m, Mechaninė, 85 kW
270 555 km., Universalas, Kaunas"
31,Volvo V70,                                                                    2 799 €                                                                                                ,"2.4 l., Dyzelinas, 2006 m, Automatinė, 136 kW
Universalas, Vilnius"
32,BMW 318,                                                                    8 499 €                                                                                                ,"2.0 l., Dyzelinas, 2013 m, Mechaninė, 100 kW
187 500 km., Universalas, Kaunas"
33,BMW X6,                                                                    16 000 €                                                                                                ,"3.0 l., Benzinas, 2010 m, Automatinė, 225 kW
163 000 km., Visureigis, Vilnius"
34,Volkswagen Golf IV,                                                                    999 €                                                                                                ,"1.9 l., Dyzelinas, 2003 m, Mechaninė, 74 kW
260 000 km., Universalas, Vilnius"
35,Volvo XC90,                                                                    4 550 €                                                                                                ,"2.4 l., Dyzelinas, 2004 m, Automatinė, 120 kW
335 764 km., Visureigis, Kaunas"
36,BMW X7,                                                                    78 980 €                                                                                                ,"3.0 l., Benzinas, 2021 m, Automatinė, 250 kW
28 400 km., Visureigis, Kaunas"
37,Volkswagen Caravelle,                                                                    645 €                                                                                                ,"2.0 l., Benzinas/Dujos, 1991 m, Mechaninė
Keleivinis mikroautobusas, Vilnius"
38,Volvo V70,                                                                    777 €                                                                                                ,"2.5 l., Dyzelinas, 2000 m, Mechaninė, 103 kW
Universalas, Vilnius"
39,Toyota Yaris Verso,                                                                    800 €                                                                                                ,"1.3 l., Benzinas, 2001 m, Mechaninė
Vienatūris, Radviliškis"
40,Volkswagen Caddy,                                                                    1 199 €                                                                                                ,"1.9 l., Dyzelinas, 2006 m, Mechaninė, 55 kW
Keleivinis mikroautobusas, Vilnius"
41,Audi A4,                                                                    1 650 €                                                                                                ,"1.9 l., Dyzelinas, 2001 m, Mechaninė, 85 kW
Universalas, Telšiai"
42,Citroen C4 Picasso I,                                                                    2 250 €                                                                                                ,"2.0 l., Dyzelinas, 2007 m, Automatinė, 100 kW
134 000 km., Vienatūris, Kretinga"
43,Volkswagen Touran,                                                                    2 600 €                                                                                                ,"2.0 l., Dyzelinas, 2004 m, Automatinė, 103 kW
Vienatūris, Kaunas"
44,Audi A4 B5,                                                                    2 999 €                                                                                                ,"1.9 l., Dyzelinas, 2001 m, Mechaninė
254 156 km., Universalas, Alytus"
45,Volkswagen Golf,                                                                    3 300 €                                                                                                ,"2.0 l., Dyzelinas, 2005 m, Automatinė, 103 kW
270 000 km., Hečbekas, Alytus"
46,Audi A4 B5,                                                                    3 500 €                                                                                                ,"1.9 l., Dyzelinas, 2001 m, Mechaninė
311 000 km., Universalas, Kaunas"
47,BMW X3 E83,                                                                    5 700 €                                                                                                ,"3.0 l., Dyzelinas, 2004 m, Automatinė, 150 kW
314 000 km., Visureigis, Kaunas"
48,Volkswagen Passat B7,                                                                    6 500 €                                                                                                ,"2.0 l., Dyzelinas, 2011 m, Automatinė, 103 kW
291 440 km., Sedanas, Kaunas"
49,Opel Astra,                                                                    7 200 €                                                                                                ,"2.0 l., Dyzelinas, 2014 m, Automatinė
216 000 km., Universalas, Tauragė"
50,Volvo S80,                                                                    300 €                                                                                                ,"2.0 l., Benzinas, 1999 m, Mechaninė, 120 kW
Sedanas, Druskininkai"
51,Peugeot 307,                                                                    750 €                                                                                                ,"2.0 l., Dyzelinas, 2003 m, Mechaninė, 79 kW
220 000 km., Hečbekas, Kaunas"
52,BMW 320 E46,                                                                    850 €                                                                                                ,"2.0 l., Dyzelinas, 2002 m, Mechaninė, 85 kW
Sedanas, Kaunas"
53,Ford Focus,                                                                    1 200 €                                                                                                ,"1.6 l., Dyzelinas, 2005 m, Mechaninė, 80 kW
Universalas, Kaunas"
54,Volkswagen Passat B5,                                                                    1 250 €                                                                                                ,"1.9 l., Dyzelinas, 1999 m, Mechaninė, 85 kW
300 000 km., Sedanas, Telšiai"
55,Audi A6,                                                                    1 399 €                                                                                                ,"2.5 l., Dyzelinas, 2003 m, Automatinė, 132 kW
271 000 km., Universalas, Estija, Talinas"
56,Ford Galaxy,                                                                    1 445 €                                                                                                ,"2.0 l., Benzinas, 1996 m, Mechaninė, 85 kW
197 546 km., Vienatūris, Kaunas"
57,Audi A2,                                                                    1 599 €                                                                                                ,"1.4 l., Dyzelinas, 2001 m, Mechaninė, 55 kW
325 000 km., Hečbekas, Kaunas"
58,Kia Cerato,                                                                    1 599 €                                                                                                ,"2.0 l., Benzinas, 2005 m, Mechaninė, 105 kW
166 000 km., Sedanas, Estija, Talinas"
59,Mazda 6,                                                                    1 699 €                                                                                                ,"2.0 l., Benzinas, 2006 m, Automatinė, 108 kW
279 000 km., Sedanas, Estija, Talinas"
60,Toyota Avensis,                                                                    1 390 €                                                                                                ,"2.0 l., Dyzelinas, 2003 m, Mechaninė, 85 kW
270 555 km., Universalas, Kaunas"
61,Volvo V70,                                                                    2 799 €                                                                                                ,"2.4 l., Dyzelinas, 2006 m, Automatinė, 136 kW
Universalas, Vilnius"
62,BMW 318,                                                                    8 499 €                                                                                                ,"2.0 l., Dyzelinas, 2013 m, Mechaninė, 100 kW
187 500 km., Universalas, Kaunas"
63,BMW X6,                                                                    16 000 €                                                                                                ,"3.0 l., Benzinas, 2010 m, Automatinė, 225 kW
163 000 km., Visureigis, Vilnius"
64,Volkswagen Golf IV,                                                                    999 €                                                                                                ,"1.9 l., Dyzelinas, 2003 m, Mechaninė, 74 kW
260 000 km., Universalas, Vilnius"
65,Volvo XC90,                                                                    4 550 €                                                                                                ,"2.4 l., Dyzelinas, 2004 m, Automatinė, 120 kW
335 764 km., Visureigis, Kaunas"
66,BMW X7,                                                                    78 980 €                                                                                                ,"3.0 l., Benzinas, 2021 m, Automatinė, 250 kW
28 400 km., Visureigis, Kaunas"
67,Volkswagen Caravelle,                                                                    645 €                                                                                                ,"2.0 l., Benzinas/Dujos, 1991 m, Mechaninė
Keleivinis mikroautobusas, Vilnius"
68,Volvo V70,                                                                    777 €                                                                                                ,"2.5 l., Dyzelinas, 2000 m, Mechaninė, 103 kW
Universalas, Vilnius"
69,Toyota Yaris Verso,                                                                    800 €                                                                                                ,"1.3 l., Benzinas, 2001 m, Mechaninė
Vienatūris, Radviliškis"
70,Volkswagen Caddy,                                                                    1 199 €                                                                                                ,"1.9 l., Dyzelinas, 2006 m, Mechaninė, 55 kW
Keleivinis mikroautobusas, Vilnius"
71,Audi A4,                                                                    1 650 €                                                                                                ,"1.9 l., Dyzelinas, 2001 m, Mechaninė, 85 kW
Universalas, Telšiai"
72,Citroen C4 Picasso I,                                                                    2 250 €                                                                                                ,"2.0 l., Dyzelinas, 2007 m, Automatinė, 100 kW
134 000 km., Vienatūris, Kretinga"
73,Volkswagen Touran,                                                                    2 600 €                                                                                                ,"2.0 l., Dyzelinas, 2004 m, Automatinė, 103 kW
Vienatūris, Kaunas"
